Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	total_genes
Scophthalmus Maximus	Actinopteri	Actinopteri	0.900020946	0.544682282	0.157843577	0.186807392	0	0	1	0	0	86	10	2	22	0	0	21260	2	11329	7	0	234	351	0	0	0	0	2	0	0	0	6	1	939	201	34453
Seriola Dumerili	Actinopteri	Actinopteri	0.165932047	0.100420159	-0.174786562	-0.014326266	0	0	7	0	24	125	20	2	22	0	0	23241	2	40	13	0	235	66	1	0	0	0	6	0	0	0	0	0	0	41	23845
Sparus Aurata	Actinopteri	Actinopteri	0.441873575	0.267416784	-0.090010167	-0.034070684	0	0	8	0	56	118	20	0	0	0	0	25156	2	98	8	0	251	182	0	0	0	0	2	0	0	0	52	2	1540	219	27714
Sus Scrofa	Mammalia	Livestock	0.968487316	0.586117338	0.280334247	-0.132402132	1	0	0	0	10	388	17	2	22	0	0	22040	7	21	25	0	591	1104	0	0	0	0	4	8	0	0	3	9	10965	453	35670
Taeniopygia Guttata	Aves	Aves	0.720687041	0.436151474	0.119506689	-0.108123138	0	0	0	0	0	210	2	0	0	0	0	16619	2	137	16	0	214	57	0	0	0	0	0	0	0	0	0	4	4757	132	22150
Takifugu Rubripes	Actinopteri	Actinopteri	0.574241973	0.34752461	-0.061772285	-0.008524856	0	0	1	0	27	152	6	0	0	0	0	21383	2	255	4	0	163	410	0	0	0	0	0	0	0	0	18	1	1168	816	24406
Tupaia Belangeri	Mammalia	Mammalia	0.939602299	0.56863646	0.050029384	0.104783552	0	0	0	0	0	640	147	2	22	0	0	15471	0	86	0	0	706	1470	0	0	0	0	0	0	0	0	0	0	0	2313	20857
Tursiops Truncatus	Mammalia	Mammalia	0.907190065	0.54902095	0.009313408	0.088201398	0	0	0	0	0	1101	128	2	22	0	0	16550	0	734	0	0	802	1001	0	0	0	0	0	0	0	0	0	0	0	925	21265
Ursus Maritimus	Mammalia	Mammalia	0.922153589	0.558076702	0.058700389	-0.007598709	1	0	0	0	14	205	569	2	22	0	0	18699	9	161	27	0	607	1238	0	0	3	0	7	0	0	0	0	0	2456	325	24345
Xenopus Tropicalis	Amphibia	Amphibia	0.505482313	0.305912058	-0.102551828	0.02730452	0	0	0	0	5	267	24	2	22	0	0	22102	20	533	18	0	347	780	0	0	0	0	0	0	0	0	6	4	0	484	24614
Xiphophorus Maculatus	Actinopteri	Actinopteri	0.12951436	0.078380595	-0.180663698	-0.017318345	0	0	1	0	15	69	18	2	22	0	0	23753	2	28	8	0	170	77	1	0	0	0	5	0	0	0	0	0	0	38	24209
